"","variable","mean_coverage","time","mean_coverage"
"1","phi[1]",93.33,1,95.33
"2","phi[2]",72,2,56
"3","phi[3]",96,3,65.33
"4","phi[4]",95.33,4,70.67
"5","phi[5]",76.67,5,60.67
"6","phi[6]",86,6,53.33
"7","phi[7]",88,7,76.67
"8","phi[8]",90,8,74.67
"9","phi[9]",88,9,74.67
"10","phi[10]",90,10,74
"11","phi[11]",88.67,11,74
"12","phi[12]",87.33,12,72
"13","phi[13]",86,13,73.33
"14","phi[14]",85.33,14,72.67
"15","phi[15]",84.67,15,72
"16","phi[16]",83.33,16,73.33
"17","phi[17]",85.33,17,72
"18","phi[18]",85.33,18,67.33
"19","phi[19]",87.33,19,68
"20","phi[20]",88,20,69.33
